type,date,price,return_pct,hold_days
BUY,2025-07-17,43.07,,
SELL,2025-07-24,40.33,-6.4,5
BUY,2025-07-29,43.93,,
SELL,2025-08-18,55.10,25.4,14
BUY,2025-08-19,58.96,,
SELL,2025-09-12,89.30,51.5,18
BUY,2025-09-17,99.68,,
SELL,2025-09-26,103.00,3.3,7
BUY,2025-11-26,85.64,,
SELL,2026-01-05,115.19,34.5,26
BUY,2026-01-27,126.60,,
SELL,2026-03-05,223.36,76.4,21
BUY,2026-03-27,274.26,,
SELL,2026-04-17,365.89,33.4,14
BUY,2026-04-22,412.00,,
SELL,2026-04-23,385.02,-6.5,1
BUY,2026-06-03,444.99,,
SELL(F),2026-06-26,543.00,22.0,16
