code,name,desc,chg_6m_pct,chg_q1_pct,chg_q2_pct,chg_1m_pct,max_dd_6m_pct,total_main_yi,recent20_main_yi,recent5_main_yi,total_super_yi,recent20_super_yi
601869,长飞光纤,光纤预制棒,451.7,115.5,156.0,48.3,-11.2,-120.67,-23.97,-24.04,-3.34,16.19
600487,亨通光电,光纤光缆,434.0,99.3,167.9,61.3,-11.6,-253.14,-92.30,-72.60,-30.54,10.22
688498,源杰科技,光芯片,272.5,48.7,150.6,58.1,-12.1,25.92,11.47,2.19,-8.58,11.99
600522,中天科技,光纤光缆+海缆,255.9,45.8,144.2,57.0,-10.0,-218.05,-83.34,-82.19,-91.75,-44.49
002281,光迅科技,光模块,250.6,15.3,204.2,18.6,-15.1,-181.73,-60.16,-69.57,-81.32,-28.87
603083,剑桥科技,光模块,109.1,-12.0,137.5,30.5,-7.9,-27.30,14.36,8.33,27.86,23.30
300308,中际旭创,光模块龙头,103.9,-2.7,109.5,12.8,-12.8,-530.25,-199.85,-134.60,-218.90,-130.82
300394,天孚通信,光器件,89.7,26.9,49.5,4.0,-26.0,-269.89,-126.26,-72.96,-143.89,-112.12
688313,仕佳光子,光芯片,87.6,-19.2,132.3,16.2,-16.0,-113.51,-18.24,-7.00,-49.76,-6.70
300502,新易盛,光模块,83.7,6.5,72.5,14.2,-10.0,-418.63,-119.69,-56.58,-272.98,-62.76
300548,博创科技,光模块,82.6,-5.4,93.0,13.7,-15.4,-50.57,9.88,-5.30,-22.60,9.51
300570,太辰光,光器件,82.5,-12.9,109.7,44.5,-21.3,-48.12,-15.64,-15.63,-9.80,-3.07
301191,菲菱科思,光通信,30.1,9.4,18.9,-12.6,-35.3,-8.74,-3.37,-0.92,-4.32,-2.03
002902,铭普光磁,光模块磁性元件,25.9,-4.2,31.4,-11.2,-34.2,-7.29,-1.85,-4.30,6.19,-1.43
688205,德科立,光模块,21.8,-3.0,25.5,-12.0,-34.6,-55.54,-16.94,-13.10,-27.50,-4.60
